year,PM25_Emissions,Region,sector,subsector,activity,capacity,longitude,latitude
2025,5.059294879,Costa Anatomicas Sl,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-1.0020131,38.1270687
2025,5.059294879,Vidreres 2000 S.L.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.7398491,41.6540445
2025,5.059294879,Best Partner Consulting,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.7830189,38.1213691
2025,5.059294879,Antex Angles Textile Sa,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.6603861,41.9552063
2025,5.059294879,Luanvi S.A,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.4650515,39.5528369
2025,5.059294879,Spw Fabrics,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.4003412,41.5936622
2025,5.059294879,Belda Lloréns,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.6639426,38.7066719
2025,5.059294879,Jess Rincon,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.6218229,38.2932723
2025,5.059294879,Takeme Shoes S.L.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.6174038,38.29356689999999
2025,5.059294879,Castma S.L,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.0422795,39.99951129999999
2025,5.059294879,Morera Pell Sl,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,1.6141494,41.5778541
2025,5.059294879,Global De Calzado Sl,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-2.088897,42.2353611
2025,5.059294879,Satinsa,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.5570476,38.8312414
2025,5.059294879,"Dedatex 86, S.L",manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-3.7037902,40.4167754
2025,5.059294879,Ranch Exportaciones Sl,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.6117391,38.2899949
2025,4.827523298,San Ciprian aluminium plant,manufacturing,aluminum,8046.478997,9100.0,-7.45773751379732,43.6969652655661
2026,3.985273467,"Repsol SA , Tarragona",manufacturing,petrochemical-steam-cracking,39852.73467,58500.0,1.226878,41.172192
2026,3.831993717,"Dow Chemical Co. , Tarragona ",manufacturing,petrochemical-steam-cracking,38319.93717,56250.0,1.231963,41.176316
2026,0.579056828,"Repsol SA , Puertollano ",manufacturing,petrochemical-steam-cracking,5790.568284,8500.0,-4.054309,38.6705
2024,964.4,Ence Huelva power station,power,electricity-generation,784580.0,167.5,-6.8615,37.3073
2024,825.3,Curtis-Teixeiro power station,power,electricity-generation,556990.0,100.0,-8.011,43.1577
2024,586.8,Ence Navia power station,power,electricity-generation,428880.0,77.0,-6.7247,43.5266
2024,434.9,Zabalgarbi power station,power,electricity-generation,393560.0,96.0,-2.9699,43.2509
2024,381.6,Sogama power station,power,electricity-generation,320870.0,71.72,-8.4402,43.1703
2024,381.0,Ence Puertollano power station,power,electricity-generation,278490.0,50.0,-3.9883,38.6559
2024,381.0,Cubillos del Sil power station,power,electricity-generation,278490.0,50.0,-6.5685,42.6235
2024,289.6,Son Reus incineration power station,power,electricity-generation,424090.0,72.94,2.6824,39.6443
2024,264.6,ENCE - PONTEVEDRA $$,power,electricity-generation,199650.0,40.47,-8.6667,42.4167
2024,171.4,TERMOSOLAR BORGES,power,electricity-generation,125309.0,22.5,0.8095,41.5334
2024,121.83,ENEMANSA,power,electricity-generation,89009.0,15.98,-3.4233,39.2379
2024,95.61,VETEJAR,power,electricity-generation,69903.0,12.55,0.7956,42.702
2024,90.06,Besós 5 power station,power,electricity-generation,3294900.0,1952.0,2.2286,41.4185
2024,80.26,Barranco de Tirajana power station,power,electricity-generation,812440.0,675.0,-15.4379,27.8042
2024,73.83,Granadilla power station,power,electricity-generation,1030270.0,717.0,-16.4934,28.0848
2024,59.23,Punta Grande power station,power,electricity-generation,317150.0,263.5,-13.5167,28.9794
2024,49.76,Mahon power station,power,electricity-generation,266500.0,221.4,4.2586,39.8969
2024,47.38,Jinamar power station,power,electricity-generation,259320.0,215.45,-15.4114,28.0424
2024,46.52,Smurfit Mengíbar power station,power,electricity-generation,80925.0,31.84,-3.7934,37.9812
2024,45.18,Candelaria power plant,power,electricity-generation,323730.0,245.7,-16.3575,28.3814
2024,44.43,Las Salinas power station,power,electricity-generation,237910.0,197.68,-13.8452,28.5042
2024,42.23,Vila Ibiza power station,power,electricity-generation,452860.0,298.7,1.43,38.9189
2024,39.3,Alcúdia power station,power,electricity-generation,675030.0,335.0,3.0914,39.8107
2024,31.78,Ceuta power station,power,electricity-generation,170200.0,141.4,-5.2895,35.9026
2024,31.09,Aboño power station,power,electricity-generation,809670.0,360.0,-5.7219,43.5536
2024,23.16,Los Guinchos power station,power,electricity-generation,124031.0,103.04,-17.768,28.6651
2024,23.14,Losan Talosa power station,power,electricity-generation,63830.0,28.5,-2.5115,41.7831
2024,17.95,Melilla power station,power,electricity-generation,96192.0,79.92,-2.9379,35.2904
2024,16.194,Soto de Ribera power station,power,electricity-generation,1469150.0,1204.0,-5.874,43.3117
2024,14.61,El Morell power station,power,electricity-generation,78236.0,65.0,1.2253,41.1936
2024,12.195,Refineria La Rabida power station,power,electricity-generation,217290.0,134.0,-6.8939,37.1815
2024,11.234,Arona power station,power,electricity-generation,60180.0,50.0,-16.6429,28.0497
2024,11.234,ARONA 1  GAS 1,power,electricity-generation,60180.0,50.0,-16.681,28.0996
2024,11.234,Guía de Isora power station,power,electricity-generation,60180.0,50.0,-16.8038,28.2225
2024,10.541,Puertollano (Repsol) power station,power,electricity-generation,198650.0,121.0,-4.0572,38.6759
2024,9.44,Tarragona Refinery power station,power,electricity-generation,101104.0,84.0,1.224,41.1765
2024,6.075,As Pontes power station,power,electricity-generation,1376130.0,770.0,-7.863,43.441
2024,6.018,BOINERSA,power,electricity-generation,32226.0,26.78,-8.9,42.65
2024,5.812,Bahía de Bizkaia power station,power,electricity-generation,1372370.0,788.0,-3.0921,43.359
2024,5.709,FORESTAL DEL ATLANTICO,power,electricity-generation,30571.0,25.4,-8.2366,43.4621
2024,5.618,FINSA-SANTIAGO,power,electricity-generation,30091.0,25.0,-8.5457,42.8805
2024,5.4166,Bahia de Algeciras power station,power,electricity-generation,1174041.0,740.0,-5.3905,36.1829
2024,5.091,La Coruna Refinery power station,power,electricity-generation,125145.0,80.7,-8.4553,43.3462
2024,4.845,Cartagena (Escombreras) power station,power,electricity-generation,2354200.0,1248.7,-0.9384,37.5727
2024,4.818,Amorebieta power station,power,electricity-generation,1105950.0,755.0,-2.7497,43.2347
2024,4.495,Gajano power station,power,electricity-generation,89910.0,74.7,-3.7509,43.422
2024,4.484,Plana del Vent power station,power,electricity-generation,2179700.0,834.1,0.8692,40.9596
2024,4.2933,Castellón power station,power,electricity-generation,979490.0,1650.0,-0.001,39.9592
2024,4.011,Ca's Tresorer power station,power,electricity-generation,790610.0,462.8,2.6895,39.5672
2024,3.925,Son Reus power station,power,electricity-generation,771340.0,451.0,2.6808,39.6483
